MsgID.GLOBAL_POSITION,0.0000000,-122.3957504,37.7932819,4.4050000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,0.0100000,-4.7200000
MsgID.LOCAL_POSITION,9.0110000,0.0448259,0.1345802,-4.4057322
MsgID.LOCAL_VELOCITY,9.0110000,0.0166059,0.0108499,-4.7245140
MsgID.GLOBAL_POSITION,0.0000000,-122.3957504,37.7932822,5.4270000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,0.0100000,-2.5800000
MsgID.LOCAL_POSITION,9.2600000,0.0736451,0.1378605,-5.4270997
MsgID.LOCAL_VELOCITY,9.2600000,0.0131414,0.0105523,-2.5837562
MsgID.GLOBAL_POSITION,0.0000000,-122.3957521,37.7932809,5.7440000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,0.0000000,-0.2000000
MsgID.LOCAL_POSITION,9.5100000,-0.0618363,-0.0158489,-5.7444620
MsgID.LOCAL_VELOCITY,9.5100000,0.0123947,0.0099527,-0.2074022
MsgID.GLOBAL_POSITION,0.0000000,-122.3957529,37.7932811,5.5150000
MsgID.LOCAL_VELOCITY,0.0000000,0.4400000,0.0100000,1.5900000
MsgID.LOCAL_POSITION,9.7610000,-0.0460620,-0.0924139,-5.5153537
MsgID.LOCAL_VELOCITY,9.7610000,0.4483882,0.0109900,1.5929964
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957519,37.7932815,0.0000000
MsgID.LOCAL_POSITION,10.0120000,0.2000591,0.0738994,-5.0907502
MsgID.LOCAL_VELOCITY,10.0120000,1.5221604,0.0135676,1.8650626
MsgID.GLOBAL_POSITION,0.0000000,-122.3957511,37.7932833,5.0900000
MsgID.LOCAL_VELOCITY,0.0000000,1.5200000,0.0100000,1.8600000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957519,37.7932904,4.8360000
MsgID.LOCAL_VELOCITY,0.0000000,3.7100000,0.0000000,0.0200000
MsgID.LOCAL_POSITION,10.2610000,0.9858423,-0.0025310,-4.8367925
MsgID.LOCAL_VELOCITY,10.2610000,3.7109451,0.0074188,0.0241348
MsgID.LOCAL_POSITION,10.5120000,2.2265179,0.0250154,-4.9620299
MsgID.LOCAL_VELOCITY,10.5120000,5.1032453,0.0038855,-0.6819835
MsgID.GLOBAL_POSITION,0.0000000,-122.3957516,37.7933015,4.9620000
MsgID.LOCAL_VELOCITY,0.0000000,5.1000000,0.0000000,-0.6800000
MsgID.LOCAL_POSITION,10.7630000,3.6387250,0.0387783,-5.0361090
MsgID.LOCAL_VELOCITY,10.7630000,5.7484303,0.0026734,0.1100869
MsgID.GLOBAL_POSITION,0.0000000,-122.3957515,37.7933143,5.0360000
MsgID.LOCAL_VELOCITY,0.0000000,5.7400000,0.0000000,0.1100000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957515,37.7933272,4.9860000
MsgID.LOCAL_VELOCITY,0.0000000,6.5700000,0.0000000,0.2000000
MsgID.LOCAL_POSITION,11.0120000,5.0728049,0.0388197,-4.9863596
MsgID.LOCAL_VELOCITY,11.0120000,6.5748968,-0.0049621,0.2081103
MsgID.GLOBAL_POSITION,0.0000000,-122.3957515,37.7933429,4.9710000
MsgID.LOCAL_VELOCITY,0.0000000,7.6700000,-0.0100000,-0.0700000
MsgID.LOCAL_POSITION,11.2630000,6.8239808,0.0389128,-4.9718537
MsgID.LOCAL_VELOCITY,11.2630000,7.6779919,-0.0136227,-0.0736239
MsgID.LOCAL_POSITION,11.5130000,8.6103268,0.0625373,-4.9945068
MsgID.LOCAL_VELOCITY,11.5130000,8.3434935,-0.0171029,-0.0114455
MsgID.GLOBAL_POSITION,0.0000000,-122.3957512,37.7933590,4.9940000
MsgID.LOCAL_VELOCITY,0.0000000,8.3400000,-0.0100000,-0.0100000
MsgID.LOCAL_POSITION,11.7620000,11.1286268,0.1786835,-4.9989061
MsgID.LOCAL_VELOCITY,11.7620000,8.6512060,-0.0446527,0.1003356
MsgID.GLOBAL_POSITION,0.0000000,-122.3957499,37.7933817,4.9980000
MsgID.LOCAL_VELOCITY,0.0000000,8.6500000,-0.0400000,0.1000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957519,37.7932815,0.0000000
MsgID.LOCAL_POSITION,12.0130000,13.0657310,0.0278508,-4.9968662
MsgID.LOCAL_VELOCITY,12.0130000,8.7557287,-0.0998318,0.1035290
MsgID.GLOBAL_POSITION,0.0000000,-122.3957516,37.7933991,4.9960000
MsgID.LOCAL_VELOCITY,0.0000000,8.7500000,-0.0900000,0.1000000
MsgID.LOCAL_POSITION,12.2630000,15.2843132,0.0171509,-4.9998584
